Customer ID,Customer_Name,Region,Segment,Recency,Frequency,Monetary,Total_Profit,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Segment,KMeans_Cluster
AT-10735,Annie Thurman,West,Consumer,14,10,3831.864,974.107,5,5,4,554,14,Champions,2
AW-10840,Anthony Witt,Central,Consumer,21,4,649.376,65.77250000000001,5,1,1,511,7,Perdus,4
AW-10930,Arthur Wiediger,Central,Home Office,47,7,2852.968,-104.5486,4,3,4,434,11,Clients Fidèles,2
AY-10555,Andy Yotov,West,Corporate,15,4,497.014,103.3499,5,1,1,511,7,Perdus,4
AZ-10750,Annie Zypern,East,Consumer,161,6,1622.0179999999998,154.9503,2,3,2,232,7,À Risque,4
BB-10990,Barry Blumstein,West,Corporate,106,5,744.3399999999999,11.583900000000007,2,2,1,221,5,À Risque,4
BB-11545,Brenda Bowman,Central,Corporate,29,9,6765.728,1015.0749999999999,4,5,5,455,14,Champions,0
BC-11125,Becky Castell,West,Home Office,203,9,2933.676,251.5974,2,5,4,254,11,À Risque,2
BD-11320,Bill Donatelli,West,Consumer,34,12,5718.521,1094.5037,4,5,5,455,14,Champions,2
BD-11500,Bradley Drucker,Central,Consumer,36,6,4411.2429999999995,1142.1225,4,3,5,435,12,Clients Fidèles,2
BD-11560,Brendan Dodson,West,Home Office,279,2,320.54,116.714,1,1,1,111,3,Perdus,1
BD-11605,Brian Dahlen,East,Consumer,98,7,3288.471,634.8463,3,3,4,334,10,Clients Fidèles,2
BD-11620,Brian DeCherney,West,Consumer,70,6,1538.11,206.75689999999997,3,3,2,332,8,Potentiel Élevé,4
BD-11635,Brian Derr,South,Consumer,10,3,582.646,141.53400000000002,5,1,1,511,7,Perdus,4
BD-11725,Bruce Degenhardt,South,Consumer,94,6,1526.5,333.9791,3,3,2,332,8,Potentiel Élevé,4
BD-11770,Bryan Davis,Central,Consumer,328,6,658.466,141.265,1,3,1,131,5,À Risque,1
BE-11335,Bill Eplett,Central,Home Office,120,5,4204.676,1487.7739000000001,2,2,4,224,8,À Risque,4
BE-11410,Bobby Elias,East,Consumer,99,5,2261.438,755.9150999999999,3,2,3,323,8,Potentiel Élevé,4
BE-11455,Brad Eason,Central,Home Office,255,6,1727.652,139.20080000000002,1,3,2,132,6,À Risque,1
BF-10975,Barbara Fisher,South,Corporate,92,7,599.798,227.4384,3,3,1,331,7,Potentiel Élevé,4
BF-11005,Barry Franz,West,Home Office,40,4,1333.88,-291.38109999999995,4,1,2,412,7,Perdus,4
BF-11020,Barry Französisch,Central,Corporate,75,8,2888.506,302.02,3,4,4,344,11,Clients Fidèles,2
BF-11080,Bart Folk,East,Consumer,26,3,272.95,110.9272,5,1,1,511,7,Perdus,4
BF-11170,Ben Ferrer,West,Home Office,17,11,5907.972,1538.2127,5,5,5,555,15,Champions,2
BF-11215,Benjamin Farhat,West,Home Office,66,4,1585.162,523.2133,3,1,2,312,6,Perdus,4
BF-11275,Beth Fritzler,West,Corporate,58,3,791.9899999999999,25.870199999999997,3,1,1,311,5,Perdus,4
BG-11035,Barry Gonzalez,South,Consumer,29,8,2798.948,-711.4274,4,4,4,444,12,Champions,2
BG-11695,Brooke Gillingham,East,Corporate,37,6,1874.172,107.5715,4,3,3,433,10,Clients Fidèles,4
BG-11740,Bruce Geld,East,Consumer,58,6,1006.356,119.34790000000001,3,3,2,332,8,Potentiel Élevé,4
BH-11710,Brosina Hoffman,West,Consumer,24,8,6255.351,802.7898,5,4,5,545,14,Champions,2
BK-11260,Berenike Kampe,East,Consumer,78,6,659.1379999999999,-63.764399999999995,3,3,1,331,7,Potentiel Élevé,4
BM-11140,Becky Martin,Central,Consumer,308,4,11789.63,-1659.9580999999998,1,1,5,115,7,Perdus,0
BM-11575,Brendan Murry,East,Corporate,101,6,808.162,95.58160000000001,3,3,1,331,7,Potentiel Élevé,4
BM-11650,Brian Moss,East,Corporate,34,11,7294.185,2199.2781,4,5,5,455,14,Champions,0
BM-11785,Bryan Mills,East,Consumer,219,10,1338.842,137.7439,2,5,2,252,9,À Risque,2
BN-11470,Brad Norvell,South,Corporate,25,4,265.296,36.6131,5,1,1,511,7,Perdus,4
BN-11515,Bradley Nguyen,West,Consumer,10,5,1459.344,340.7054,5,2,2,522,9,Potentiel Élevé,4
BO-11350,Bill Overfelt,West,Corporate,138,5,2682.728,278.77700000000004,2,2,3,223,7,À Risque,4
BO-11425,Bobby Odegard,South,Consumer,76,2,130.83,59.4522,3,1,1,311,5,Perdus,4
BP-11050,Barry Pond,East,Corporate,84,5,983.42,209.78300000000002,3,2,2,322,7,Potentiel Élevé,4
BP-11095,Bart Pistole,Central,Corporate,18,12,2442.044,433.9751,5,5,3,553,13,Clients Fidèles,2
BP-11155,Becky Pak,South,Consumer,90,6,1697.8609999999999,647.3847000000001,3,3,2,332,8,Potentiel Élevé,4
BP-11185,Ben Peterman,West,Corporate,2,9,3675.861,363.5991,5,5,4,554,14,Champions,2
BP-11230,Benjamin Patterson,West,Consumer,40,5,1181.49,-197.2695,4,2,2,422,8,Potentiel Élevé,4
BP-11290,Beth Paige,Central,Consumer,13,7,2475.157,-319.0637,5,3,3,533,11,Clients Fidèles,2
BS-11365,Bill Shonely,East,Corporate,559,5,10501.653,2616.0643999999998,1,2,5,125,8,À Risque,0
BS-11380,Bill Stewart,Central,Corporate,29,5,3887.834,-17.532200000000024,4,2,4,424,10,Potentiel Élevé,4
BS-11590,Brendan Sweed,West,Corporate,36,6,2454.928,381.7807,4,3,3,433,10,Clients Fidèles,4
BS-11665,Brian Stugart,East,Consumer,583,3,3288.1099999999997,238.73680000000002,1,1,4,114,6,Perdus,3
BS-11755,Bruce Stewart,West,Consumer,2,7,2562.382,-113.29840000000003,5,3,3,533,11,Clients Fidèles,2
BS-11800,Bryan Spruell,East,Home Office,266,2,949.4300000000001,194.0516,1,1,1,111,3,Perdus,1
BT-11305,Beth Thompson,West,Home Office,337,5,2567.656,417.5918,1,2,3,123,6,À Risque,1
BT-11395,Bill Tyler,Central,Corporate,303,6,2186.6130000000003,257.9163,1,3,3,133,7,À Risque,1
BT-11440,Bobby Trafton,West,Consumer,561,4,603.876,-77.5256,1,1,1,111,3,Perdus,3
BT-11485,Brad Thomas,East,Home Office,660,2,415.19599999999997,126.8694,1,1,1,111,3,Perdus,3
BT-11530,Bradley Talbott,West,Home Office,92,5,2684.4919999999997,409.4983,3,2,3,323,8,Potentiel Élevé,4
BT-11680,Brian Thompson,East,Consumer,21,7,3196.752,447.74839999999995,5,3,4,534,12,Clients Fidèles,2
BV-11245,Benjamin Venier,Central,Corporate,335,5,1523.2730000000001,315.2214,1,2,2,122,5,À Risque,1
BW-11065,Barry Weirich,South,Consumer,213,3,385.516,-58.28659999999999,2,1,1,211,4,Perdus,1
BW-11110,Bart Watters,Central,Corporate,122,8,4750.358,921.2574,2,4,5,245,11,À Risque,2
BW-11200,Ben Wallace,South,Consumer,204,6,1738.406,246.9973,2,3,2,232,7,À Risque,4
CA-11965,Carol Adams,South,Corporate,97,6,3789.7228,1143.3817,3,3,4,334,10,Clients Fidèles,4
CA-12055,Cathy Armstrong,Central,Home Office,402,5,1679.7240000000002,211.2559,1,2,2,122,5,À Risque,1
CA-12265,Christina Anderson,Central,Consumer,57,9,2648.2872,279.6183,3,5,3,353,11,Clients Fidèles,2
CA-12310,Christine Abelman,East,Corporate,14,4,1421.954,246.02179999999998,5,1,2,512,8,Perdus,4
CA-12775,Cynthia Arntzen,South,Consumer,121,7,3041.566,204.48950000000002,2,3,4,234,9,À Risque,2
CB-12025,Cassandra Brandow,East,Consumer,48,10,6076.139,150.2089,4,5,5,455,14,Champions,2
CB-12415,Christy Brittain,East,Consumer,27,8,1949.2,272.3883,5,4,3,543,12,Clients Fidèles,2
CB-12535,Claudia Bergmann,South,Corporate,198,8,4246.4555,1049.5601,2,4,4,244,10,À Risque,2
CC-12100,Chad Cunningham,Central,Home Office,458,6,1770.945,208.5912,1,3,3,133,7,À Risque,1
CC-12145,Charles Crestani,West,Consumer,107,7,2471.65,392.2825,2,3,3,233,8,À Risque,2
CC-12220,Chris Cortes,Central,Consumer,21,12,3913.418,393.9618,5,5,4,554,14,Champions,2
CC-12370,Christopher Conant,South,Consumer,44,5,12129.072000000002,2177.0493,4,2,5,425,11,Potentiel Élevé,0
CC-12430,Chuck Clark,Central,Home Office,1,10,2870.05,424.6583,5,5,4,554,14,Champions,2
CC-12475,Cindy Chapman,East,Consumer,40,9,1659.438,154.851,4,5,2,452,11,Potentiel Élevé,2
CC-12550,Clay Cheatham,West,Consumer,28,3,113.832,33.870599999999996,4,1,1,411,6,Perdus,4
CC-12610,Corey Catlett,East,Corporate,35,7,2540.631,331.434,4,3,3,433,10,Clients Fidèles,2
CC-12670,Craig Carreira,East,Consumer,30,7,2269.7015,187.8399,4,3,3,433,10,Clients Fidèles,2
CC-12685,Craig Carroll,South,Consumer,800,4,2854.1150000000002,850.1591,1,1,4,114,6,Perdus,3
CD-11920,Carlos Daly,West,Consumer,41,5,2033.968,426.661,4,2,3,423,9,Potentiel Élevé,4
CD-11980,Carol Darley,Central,Consumer,55,3,639.766,-206.7172,3,1,1,311,5,Perdus,4
CD-12280,Christina DeMoss,West,Consumer,43,2,1205.584,233.0274,4,1,2,412,7,Perdus,4
CD-12790,Cynthia Delaney,West,Home Office,400,5,1860.732,403.8422,1,2,3,123,6,À Risque,1
CG-12040,Catherine Glotzbach,East,Home Office,50,6,904.4680000000001,86.5106,4,3,1,431,8,Potentiel Élevé,4
CG-12520,Claire Gute,South,Consumer,339,3,1148.7800000000002,169.93439999999998,1,1,2,112,4,Perdus,1
CH-12070,Cathy Hwang,South,Home Office,692,3,1537.236,195.15109999999999,1,1,2,112,4,Perdus,3
CJ-11875,Carl Jackson,East,Corporate,366,1,16.52,1.652,1,1,1,111,3,Perdus,1
CJ-12010,Caroline Jumper,West,Consumer,190,8,11164.974,858.7414,2,4,5,245,11,À Risque,0
CK-12205,Chloris Kastensmidt,East,Consumer,40,13,3154.855,141.2831,4,5,4,454,13,Champions,2
CK-12325,Christine Kargatis,West,Home Office,121,5,2945.321,261.22090000000003,2,2,4,224,8,À Risque,4
CK-12595,Clytie Kelty,East,Consumer,44,11,2372.75,497.70980000000003,4,5,3,453,12,Clients Fidèles,2
CK-12760,Cyma Kinney,East,Corporate,83,9,1582.109,-338.4311,3,5,2,352,10,Potentiel Élevé,2
CL-11890,Carl Ludwig,East,Consumer,107,4,1262.0140000000001,328.0847,2,1,2,212,5,Perdus,4
CL-12565,Clay Ludtke,Central,Consumer,285,12,10880.546,1933.7830999999999,1,5,5,155,11,À Risque,0
CL-12700,Craig Leslie,Central,Home Office,106,5,2353.586,229.00990000000002,2,2,3,223,7,À Risque,4
CM-11815,Candace McMahon,Central,Corporate,132,6,1673.888,214.463,2,3,2,232,7,À Risque,4
CM-11935,Carlos Meador,South,Consumer,709,2,565.392,-43.732400000000005,1,1,1,111,3,Perdus,3
CM-12115,Chad McGuire,East,Consumer,9,4,1661.6100000000001,409.0679,5,1,2,512,8,Perdus,4
CM-12160,Charles McCrossin,Central,Consumer,27,6,2533.314,-394.3686,5,3,3,533,11,Clients Fidèles,4
CM-12190,Charlotte Melton,East,Consumer,9,6,1475.144,91.2033,5,3,2,532,10,Potentiel Élevé,4
CM-12235,Chris McAfee,Central,Consumer,386,5,2305.712,365.0387,1,2,3,123,6,À Risque,1
CM-12385,Christopher Martinez,South,Consumer,38,4,8954.019999999999,3899.8903999999998,4,1,5,415,10,Potentiel Élevé,0
CM-12445,Chuck Magee,West,Consumer,437,3,287.99,64.4296,1,1,1,111,3,Perdus,1
CM-12655,Corinna Mitchell,West,Home Office,28,6,6339.5576,1572.4585,4,3,5,435,12,Clients Fidèles,0
CM-12715,Craig Molinari,Central,Corporate,1036,4,3984.4524,176.3108,1,1,4,114,6,Perdus,3
CP-12085,Cathy Prescott,East,Corporate,83,8,5402.254,427.0258,3,4,5,345,12,Clients Fidèles,2
CP-12340,Christine Phan,East,Corporate,161,8,5888.275,-1850.3029000000001,2,4,5,245,11,À Risque,2
CR-12580,Clay Rozendal,Central,Home Office,58,4,2148.852,74.40129999999999,3,1,3,313,7,Potentiel Élevé,4
CR-12625,Corey Roper,East,Home Office,471,3,475.9,144.7594,1,1,1,111,3,Perdus,1
CR-12730,Craig Reiter,East,Consumer,79,4,1600.55,306.9176,3,1,2,312,6,Perdus,4
CR-12820,Cyra Reiten,East,Home Office,86,3,1397.8724,83.27029999999999,3,1,2,312,6,Perdus,4
CS-11845,Cari Sayre,West,Corporate,92,5,1278.954,185.3776,3,2,2,322,7,Potentiel Élevé,4
CS-11860,Cari Schnelling,South,Consumer,163,6,537.632,105.8275,2,3,1,231,6,À Risque,4
CS-11950,Carlos Soltero,Central,Consumer,26,11,3036.547,-126.4223,5,5,4,554,14,Champions,2
CS-12130,Chad Sievert,West,Consumer,490,4,884.64,143.8339,1,1,1,111,3,Perdus,1
CS-12175,Charles Sheldon,South,Corporate,233,5,844.4580000000001,113.1405,1,2,1,121,4,À Risque,1
CS-12250,Chris Selesnick,South,Corporate,27,12,2754.216,738.3626,5,5,4,554,14,Champions,2
CS-12355,Christine Sundaresam,South,Consumer,7,11,3202.1620000000003,831.9432,5,5,4,554,14,Champions,2
CS-12400,Christopher Schild,Central,Home Office,3,9,3651.8585000000003,-342.80330000000004,5,5,4,554,14,Champions,2
CS-12460,Chuck Sachs,South,Consumer,28,2,550.644,156.2593,4,1,1,411,6,Perdus,4
CS-12490,Cindy Schnelling,Central,Corporate,425,4,1077.2285,-302.8761,1,1,2,112,4,Perdus,1
CS-12505,Cindy Stewart,South,Consumer,59,6,5690.054999999999,-6626.389499999999,3,3,5,335,11,Clients Fidèles,2
CT-11995,Carol Triggs,Central,Consumer,97,8,3241.898,161.22629999999995,3,4,4,344,11,Clients Fidèles,2
CV-12295,Christina VanderZanden,West,Consumer,255,5,2830.6279999999997,493.0861,1,2,4,124,7,À Risque,1
CV-12805,Cynthia Voltz,East,Corporate,6,9,2370.3136,98.99749999999999,5,5,3,553,13,Clients Fidèles,2
CW-11905,Carl Weiss,Central,Home Office,23,6,1136.592,370.8298,5,3,2,532,10,Potentiel Élevé,4
CY-12745,Craig Yedwab,West,Corporate,61,8,2900.026,60.64670000000001,3,4,4,344,11,Clients Fidèles,2
Co-12640,Corey-Lock,East,Consumer,550,5,1300.076,205.62820000000002,1,2,2,122,5,À Risque,1
DA-13450,Dianna Arnett,Central,Home Office,353,4,156.76,56.7904,1,1,1,111,3,Perdus,1
DB-12910,Daniel Byrd,South,Home Office,22,8,2171.599,431.3748,5,4,3,543,12,Clients Fidèles,2
DB-12970,Darren Budd,West,Corporate,242,5,2839.2272,213.00289999999998,1,2,4,124,7,À Risque,1
DB-13060,Dave Brooks,West,Consumer,17,7,4531.646,473.0272,5,3,5,535,13,Clients Fidèles,2
DB-13120,David Bremer,West,Corporate,49,7,2973.094,-1421.7692,4,3,4,434,11,Clients Fidèles,2
DB-13210,Dean Braden,Central,Consumer,10,10,2332.577,169.9679,5,5,3,553,13,Clients Fidèles,2
DB-13270,Deborah Brumfield,West,Home Office,54,8,4655.897,841.8263999999999,4,4,5,445,13,Champions,2
DB-13360,Dennis Bolton,East,Home Office,265,5,1081.466,291.0085,1,2,2,122,5,À Risque,1
DB-13405,Denny Blanton,Central,Consumer,188,4,1711.692,438.9092,2,1,2,212,5,Perdus,4
DB-13555,Dorothy Badders,South,Corporate,108,7,3908.8028,109.32700000000001,2,3,4,234,9,À Risque,2
DB-13615,Doug Bickford,West,Consumer,34,7,1989.05,438.80119999999994,4,3,3,433,10,Clients Fidèles,2
DB-13660,Duane Benoit,East,Consumer,13,7,1155.202,177.67350000000002,5,3,2,532,10,Potentiel Élevé,4
DC-12850,Dan Campbell,South,Consumer,38,9,3336.168,-1441.6312999999998,4,5,4,454,13,Champions,2
DC-13285,Debra Catini,Central,Consumer,24,5,1174.618,132.06820000000002,5,2,2,522,9,Potentiel Élevé,4
DD-13570,Dorothy Dickinson,Central,Consumer,42,6,269.542,36.4344,4,3,1,431,8,Potentiel Élevé,4
DE-13255,Deanra Eno,East,Home Office,720,5,2550.874,464.47139999999996,1,2,3,123,6,À Risque,3
DF-13135,David Flashing,West,Consumer,701,3,2390.534,-259.3097,1,1,3,113,5,Perdus,3
DG-13300,Deirdre Greer,East,Corporate,33,5,3195.818,562.7761,4,2,4,424,10,Potentiel Élevé,4
DH-13075,Dave Hallsten,South,Corporate,278,6,4932.872,1193.7404,1,3,5,135,9,À Risque,1
DH-13675,Duane Huffman,East,Home Office,777,4,1043.096,116.667,1,1,2,112,4,Perdus,3
DJ-13420,Denny Joy,South,Corporate,638,4,2012.52,483.03499999999997,1,1,3,113,5,Perdus,3
DJ-13510,Don Jones,South,Corporate,49,8,2501.6879999999996,345.2521,4,4,3,443,11,Clients Fidèles,2
DJ-13630,Doug Jacobs,East,Consumer,13,3,3356.398,731.5644,5,1,4,514,10,Potentiel Élevé,4
DK-12835,Damala Kotsonis,West,Corporate,22,12,3256.48,881.1228000000001,5,5,4,554,14,Champions,2
DK-12895,Dana Kaydos,Central,Consumer,46,5,4282.176,937.6496,4,2,4,424,10,Potentiel Élevé,4
DK-12985,Darren Koutras,South,Consumer,8,5,1687.04,-107.35379999999998,5,2,2,522,9,Potentiel Élevé,4
DK-13090,Dave Kipp,West,Consumer,43,7,2650.557,536.3935,4,3,3,433,10,Clients Fidèles,2
DK-13150,David Kendrick,Central,Corporate,11,2,797.832,249.9447,5,1,1,511,7,Perdus,4
DK-13225,Dean Katz,East,Corporate,11,9,4802.394,209.89940000000004,5,5,5,555,15,Champions,2
DK-13375,Dennis Kane,East,Consumer,20,8,3318.486,377.0799,5,4,4,544,13,Champions,2
DL-12865,Dan Lawera,East,Consumer,101,8,1503.112,322.2449,3,4,2,342,9,Potentiel Élevé,2
DL-12925,Daniel Lacy,West,Consumer,58,6,3272.2,4.213200000000029,3,3,4,334,10,Clients Fidèles,4
DL-13315,Delfina Latchford,East,Consumer,23,8,1458.258,288.8732,5,4,2,542,11,Potentiel Élevé,2
DL-13330,Denise Leinenbach,West,Consumer,58,4,585.02,222.6812,3,1,1,311,5,Perdus,4
DL-13495,Dionis Lloyd,West,Corporate,77,8,3539.322,-52.78799999999997,3,4,4,344,11,Clients Fidèles,2
DM-12955,Dario Medina,Central,Corporate,115,7,1322.034,108.7583,2,3,2,232,7,À Risque,4
DM-13015,Darrin Martin,West,Consumer,58,7,6345.103,1677.3931,3,3,5,335,11,Clients Fidèles,0
DM-13345,Denise Monton,South,Corporate,23,8,4074.4719999999998,1319.0586,5,4,4,544,13,Champions,2
DM-13525,Don Miller,Central,Corporate,482,3,1376.792,199.7688,1,1,2,112,4,Perdus,1
DN-13690,Duane Noonan,West,Consumer,218,7,2139.79,540.5405000000001,2,3,3,233,8,À Risque,2
DO-13435,Denny Ordway,South,Consumer,134,9,1300.0315,-38.90860000000001,2,5,2,252,9,À Risque,2
DO-13645,Doug O'Connell,West,Consumer,27,7,1267.316,294.0676,5,3,2,532,10,Potentiel Élevé,4
DP-13000,Darren Powers,Central,Consumer,127,9,1050.636,241.4524,2,5,2,252,9,À Risque,2
DP-13105,Dave Poirier,West,Corporate,7,8,2215.002,563.1761,5,4,3,543,12,Clients Fidèles,2
DP-13165,David Philippe,East,Consumer,813,2,1058.616,-40.93759999999999,1,1,2,112,4,Perdus,3
DP-13390,Dennis Pardue,Central,Home Office,359,9,5480.723999999999,1571.8318,1,5,5,155,11,À Risque,2
DR-12880,Dan Reichenbach,Central,Corporate,4,9,6528.034000000001,1641.8613,5,5,5,555,15,Champions,0
DR-12940,Daniel Raglin,East,Home Office,51,8,8350.868,2869.0759999999996,4,4,5,445,13,Champions,0
DS-13030,Darrin Sayre,West,Home Office,94,4,1762.213,193.3319,3,1,3,313,7,Potentiel Élevé,4
DS-13180,David Smith,Central,Corporate,24,9,2881.8128,163.6993,5,5,4,554,14,Champions,2
DV-13045,Darrin Van Huff,West,Corporate,20,5,1119.483,-427.184,5,2,2,522,9,Potentiel Élevé,4
DV-13465,Dianna Vittorini,West,Consumer,30,6,3341.587,353.2127,4,3,4,434,11,Clients Fidèles,4
DW-13195,David Wiener,Central,Corporate,70,6,1080.751,-86.87379999999999,3,3,2,332,8,Potentiel Élevé,4
DW-13480,Dianna Wilson,Central,Home Office,218,5,5271.628,1348.7556,2,2,5,225,9,À Risque,4
DW-13540,Don Weiss,West,Consumer,99,5,344.08,69.6672,3,2,1,321,6,Potentiel Élevé,4
DW-13585,Dorothy Wardle,East,Corporate,243,7,1204.854,-266.8966,1,3,2,132,6,À Risque,1
Dl-13600,Dorris liebe,Central,Corporate,120,5,755.602,175.2388,2,2,1,221,5,À Risque,4
Dp-13240,Dean percer,West,Home Office,85,11,7198.7609999999995,333.36479999999995,3,5,5,355,13,Clients Fidèles,0
